height,opt_length,opt_width,volume
550,900,2950,1.46025
550,950,2650,1.384625
550,1000,2450,1.3475
550,1050,2250,1.299375
550,1100,2050,1.24025
550,1150,1850,1.170125
550,1200,1700,1.122
550,1250,1550,1.065625
550,1300,1450,1.03675
550,1350,1300,0.96525
550,1400,1200,0.924
550,1450,1100,0.87725
550,1500,1000,0.825
550,1650,950,0.862125
550,1850,900,0.91575
550,2000,850,0.935
550,2250,800,0.99
550,2450,750,1.010625
550,2700,700,1.0395
550,3000,650,1.0725
550,3300,600,1.089
550,3650,550,1.104125
550,4100,500,1.1275
550,4550,450,1.126125
600,700,4150,1.743
600,750,3750,1.6875
600,800,3400,1.632
600,850,3050,1.5555
600,900,2800,1.512
600,950,2550,1.4535
600,1000,2300,1.38
600,1050,2100,1.323
600,1100,1900,1.254
600,1150,1750,1.2075
600,1200,1600,1.152
600,1250,1450,1.0875
600,1300,1300,1.014
600,1350,1200,0.972
600,1400,1100,0.924
600,1500,1050,0.945
600,1600,1000,0.96
600,1800,950,1.026
600,1950,900,1.053
600,2150,850,1.0965
600,2350,800,1.128
600,2550,750,1.1475
600,2800,700,1.176
600,3100,650,1.209
600,3400,600,1.224
600,3800,550,1.254
600,4200,500,1.26
600,4650,450,1.2555
650,700,4000,1.82
650,750,3600,1.755
650,800,3250,1.69
650,850,2950,1.629875
650,900,2650,1.55025
650,950,2450,1.512875
650,1000,2200,1.43
650,1050,2000,1.365
650,1100,1800,1.287
650,1150,1650,1.233375
650,1200,1500,1.17
650,1250,1350,1.096875
650,1300,1250,1.05625
650,1350,1150,1.009125
650,1450,1100,1.03675
650,1600,1050,1.092
650,1700,1000,1.105
650,1900,950,1.17325
650,2050,900,1.19925
650,2250,850,1.243125
650,2450,800,1.274
650,2650,750,1.291875
650,2900,700,1.3195
650,3200,650,1.352
650,3550,600,1.3845
650,3900,550,1.39425
650,4300,500,1.3975
650,4750,450,1.389375
700,650,4350,1.97925
700,700,3900,1.911
700,750,3500,1.8375
700,800,3150,1.764
700,850,2850,1.69575
700,900,2550,1.6065
700,950,2350,1.56275
700,1000,2100,1.47
700,1050,1900,1.3965
700,1100,1750,1.3475
700,1150,1550,1.24775
700,1200,1400,1.176
700,1250,1250,1.09375
700,1300,1200,1.092
700,1400,1150,1.127
700,1550,1100,1.1935
700,1650,1050,1.21275
700,1800,1000,1.26
700,2000,950,1.33
700,2150,900,1.3545
700,2350,850,1.39825
700,2550,800,1.428
700,2800,750,1.47
700,3050,700,1.4945
